site,season,date,time,latitude,longitude,temp,pH,specific_conductance,turbidity,HDO_con_mg_liter,HDO_sat_percent,cdom_probe_value,alternate_cdom_probe_value,Chl,salinity,DIC,alkalinity,DOC,fluorescence_index,humification_index,fluorescence_index_new,manta_probe1,manta_probe2,freshness,coble_peak_b,coble_peak_t,coble_peak_a,coble_peak_m,coble_peak_c,uva_254,specific_uva_254,uva_412,spectral_slope_275_295,spectral_slope_350_400,spectral_slope_ratio,spectral_slope_280_450,spectral_slope_588_598,total_absorb_250_450,total_absorb_300_340,model_comp_1,model_comp_2,model_comp_3,model_comp_4,pCO2,pCH4,pN2O
Oyster,Wet,2022-10-17,15:45,25.34187,-81.05741,28.97,8.04,21500,-9999,3.68,52.8,-9999,-9999,-9999,12.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3141.15,111.77,0.35
WhiteWater 1 (WWB1),Wet,2022-10-17,-9999,25.30627,-81.01984,28.92,8.66,14390,-9999,7.29,101.9,-9999,-9999,-9999,8.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,666.43,34.35,0.24
WWB2,Wet,2022-10-17,-9999,25.27462,-80.98427,28.67,8.56,15140,-9999,6.78,94.6,-9999,-9999,-9999,8.77,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,874.21,34.68,0.26
Tarpon Creek,Wet,2022-10-17,17:00,25.20855,-80.93024,28.29,8,208310,-9999,2.57,36.3,-9999,-9999,-9999,12.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4015.33,706.63,0.35
SRS Gulf,Wet,2022-10-15,13:15,25.35741,-81.1377,29.18,8.18,38500,-9999,4.24,65.1,-9999,-9999,-9999,24.4,2806.24,3080.8,6.55,1.19,11.15,1.5,1386.73,524.75,0.67,0.18,0.18,1.47,0.78,0.58,21.42,3.27,1.59,0.02,0.02,1.07,0.02,-0.02,1418.74,314.38,1.31,0.78,0.33,0.16,1868.11,77.38,0.32
SRS Mouth,Wet,2022-10-15,-9999,25.35379,-81.11199,29.18,8.15,32700,-9999,3.92,58.9,-9999,-9999,-9999,20.36,2967.89,3217,7.58,1.18,6.6,1.5,1814.03,686.12,0.65,0.5,0.64,1.92,1.01,0.75,28.52,3.76,2.39,0.02,0.02,1.1,0.02,-0.03,1941.05,432.03,1.69,1.01,0.42,0.53,2507.95,95.14,0.33
SRS 6,Wet,2022-10-15,15:31,25.365084,-81.078274,28.5,7.85,12510,-9999,3.4,46.9,-9999,-9999,-9999,7.13,3130.5,3162.9,11,1.17,13.64,1.48,2992.56,1174.77,0.6,0.28,0.38,3.13,1.67,1.26,41.82,3.8,3.7,0.02,0.02,0.99,0.02,-0.02,2944.11,673.33,2.86,1.56,0.71,0.23,4978.88,127.62,0.36
SRS 6 Tidal Creek,Wet,2022-10-17,9:34,25.36462994,-81.07794623,27.02,7.92,20960,-9999,3.94,54.4,-9999,-9999,-9999,12.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4110.58,416.42,0.3
SRS 5_5,Wet,2022-10-15,15:57,25.37178,-81.05574,28.77,7.91,4525,-9999,3.27,44.2,-9999,-9999,-9999,2.38,2906.96,2903.4,11.47,1.16,8.88,1.48,3258.18,1274.05,0.6,0.38,0.54,3.41,1.86,1.38,43.12,3.76,3.63,0.02,0.02,0.98,0.02,-0.02,2990.37,682.6,3.13,1.74,0.74,0.34,5599.21,173.66,0.39
SRS 5,Wet,2022-10-17,14:39,25.377403,-81.032725,28.05,7.89,1696,-9999,3.56,47,-9999,-9999,-9999,0.85,2739.86,2708.1,11.05,1.17,6.52,1.48,3144.66,1180.01,0.61,0.86,1.02,3.34,1.81,1.29,39.59,3.58,3.26,0.02,0.02,1.02,0.02,-0.03,2688.07,604.75,2.98,1.72,0.66,0.8,5653.76,241.1,0.4
SRS 4_8,Wet,2022-10-17,14:49,25.38756,-81.01363,27.88,7.85,1737,-9999,3.57,47.1,-9999,-9999,-9999,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5660.63,363.05,0.43
SRS 4_6,Wet,2022-10-17,14:57,25.40454,-81.01028,27.9,7.88,1281,-9999,4,52.6,-9999,-9999,-9999,0.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5298.79,485.95,0.42
SRS 4_5,Wet,2022-10-17,15:10,25.41263,-80.97653,27.8,7.96,938.1,-9999,4.75,62.3,-9999,-9999,-9999,0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4155.52,406.5,0.34
SRS 4,Wet,2022-10-17,10:16,25.409986,-80.964627,27.35,7.85,720,-9999,3.55,46.3,-9999,-9999,-9999,0.34,2568.54,2519.9,11.37,1.18,9.65,1.48,2816.72,1037.26,0.61,0.4,0.41,3.05,1.67,1.15,32.79,2.88,2.24,0.02,0.02,0.97,0.02,-0.02,2126.55,474.76,2.73,1.59,0.56,0.29,6418.17,1418.33,0.38
Tarpon Bay,Wet,2022-10-17,11:05,25.42426,-80.97869,27.51,7.79,755.9,-9999,3.53,46.1,-9999,-9999,-9999,0.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6430.07,809.54,0.39
Tarpon Bay 2,Wet,2022-10-17,11:25,25.4173,-80.99563,27.65,7.84,1226,-9999,3.92,51.4,-9999,-9999,-9999,0.6,2623.3,2578.3,10.79,1.17,11.1,1.48,3139.04,1188.02,0.6,0.37,0.41,3.35,1.81,1.3,38.39,3.56,2.96,0.02,0.02,0.97,0.02,-0.03,2584.5,584.65,3.03,1.71,0.7,0.32,5264.28,460.71,0.4
Harney 1,Wet,2022-10-17,11:33,25.41772,-81.0106,27.79,7.84,1681,-9999,3.6,47.4,-9999,-9999,-9999,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5364.79,438.3,0.39
Harney 2,Wet,2022-10-17,11:41,25.42348,-81.02625,27.59,7.79,2766,-9999,2.99,39.3,-9999,-9999,-9999,1.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6218.06,274.13,0.4
